#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.67Z,2963.73,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.68Z,2959.34,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.69Z,2954.96,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.7Z,2950.62,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.71Z,2946.31,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.72Z,2942.05,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.73Z,2937.8,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.74Z,2933.54,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.75Z,2929.41,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.76Z,2925.28,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.77Z,2921.16,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.78Z,2917.16,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.79Z,2913.24,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.8Z,2909.35,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.81Z,2905.63,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.82Z,2902.06,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.83Z,2898.45,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.84Z,2894.8,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.85Z,2891.14,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.86Z,2887.56,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.87Z,2883.96,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.88Z,2880.52,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.89Z,2877.05,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.9Z,2873.64,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.91Z,2870.22,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.92Z,2866.84,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.93Z,2863.5,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.94Z,2860.23,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.95Z,2856.9,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.96Z,2853.67,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.97Z,2850.49,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.98Z,2847.3,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.99Z,2844.16,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24Z,2841.04,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.01Z,2837.92,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.02Z,2834.86,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.03Z,2831.79,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.04Z,2828.83,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.05Z,2825.83,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.06Z,2822.86,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.07Z,2819.95,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.08Z,2817.04,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.09Z,2814.23,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.1Z,2811.42,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.11Z,2808.62,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.12Z,2805.91,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.13Z,2803.18,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.14Z,2800.5,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.15Z,2797.82,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.16Z,2795.16,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.17Z,2792.54,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.18Z,2789.94,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.19Z,2787.4,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.2Z,2784.82,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.21Z,2782.37,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.22Z,2780.31,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.23Z,2778.76,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.24Z,2777.97,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.25Z,2778.47,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.26Z,2779.8,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.27Z,2782.42,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.28Z,2786.8,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:24.29Z,2792.86,pB,R
